Index,Date,Open,High,Low,Close,Volume,Adj Close
BAC,12/30/2016,22.02,22.26,21.950001,22.1,72605900,22.032841
BAC,12/29/2016,22.33,22.389999,21.77,22,79188400,21.933145
BAC,12/28/2016,22.620001,22.67,22.26,22.33,52652900,22.262142
BAC,12/27/2016,22.709999,22.74,22.540001,22.610001,39988600,22.541291
BAC,12/23/2016,22.51,22.65,22.43,22.6,38187800,22.531322
BAC,12/22/2016,22.6,22.73,22.469999,22.540001,67123500,22.471504
BAC,12/21/2016,22.719999,22.719999,22.469999,22.629999,61079100,22.561229
BAC,12/20/2016,22.629999,22.83,22.610001,22.709999,83879500,22.640986
BAC,12/19/2016,22.6,22.719999,22.33,22.48,97508900,22.411685
RDS-A,8/26/2011,62.549999,64.650002,62,64.220001,3150100,46.51946
RDS-A,8/25/2011,64.099998,64.57,62.84,63.16,3421900,45.75162
RDS-A,8/24/2011,64.440002,65.519997,64.080002,64.889999,2580600,47.004791
RDS-A,8/23/2011,64.230003,65.440002,63.700001,65.440002,4075900,47.4032
RDS-A,8/22/2011,64.910004,64.940002,62.790001,63.080002,3824000,45.693671
RDS-A,8/19/2011,61.939999,63.189999,61.619999,61.720001,3940500,44.708518
RDS-A,8/18/2011,64.410004,64.459999,62.66,63.59,3465300,46.063102
RDS-A,8/17/2011,66.07,66.629997,65.629997,65.970001,2725300,47.787119
RDS-A,8/16/2011,65.300003,66.629997,65,65.650002,3064800,47.555318
RDS-A,8/15/2011,66,66.720001,65.82,66.660004,2715500,48.28694
RDS-A,8/12/2011,64.959999,65.779999,64.379997,65.639999,3365600,47.548073
RDS-A,8/11/2011,61.389999,64.790001,61.07,64.120003,4964900,46.447023
RDS-A,8/10/2011,62.73,63.400002,61,61.349998,4725700,44.440497
RDS-A,8/9/2011,62.470001,64.040001,60.25,63.93,6052600,46.30939
RDS-A,8/8/2011,61.970001,63.099998,59.849998,60.009998,8590500,43.469833
RDS-A,8/5/2011,64.82,65.470001,61.939999,64.400002,11267900,46.649848
RDS-A,8/4/2011,66.870003,66.980003,64.440002,64.580002,7379700,46.780236
RDS-A,8/3/2011,70.589996,70.720001,68.900002,69.480003,3592900,50.329682
RDS-A,8/2/2011,71.919998,72.599998,71.419998,71.510002,3858400,51.191688
RDS-A,8/1/2011,74.07,74.169998,71.830002,72.550003,3181300,51.936191
RDS-A,7/29/2011,73.400002,74.190002,73.199997,73.559998,2658800,52.659213
BAC,11/16/2016,19.780001,19.959999,19.68,19.75,126734500,19.6172
BAC,11/15/2016,19.790001,20.18,19.6,20.16,190293100,20.024443
BAC,11/14/2016,19.41,20.200001,19.4,20.08,320959900,19.944981
BAC,11/11/2016,18.639999,19.030001,18.629999,19.02,212952500,18.892109
BAC,11/10/2016,18.26,18.99,18.25,18.76,304986400,18.633857
BAC,11/9/2016,17.66,18.049999,17.4,17.969999,319516900,17.849168
BAC,11/8/2016,16.82,17.110001,16.709999,17,95842800,16.885691
BAC,11/7/2016,16.860001,17.040001,16.85,17.01,91581900,16.895624
BAC,11/4/2016,16.530001,16.709999,16.35,16.549999,82437400,16.438716
BAC,11/3/2016,16.48,16.67,16.450001,16.48,69690400,16.369187
BAC,11/2/2016,16.459999,16.559999,16.280001,16.48,119202000,16.369187
BAC,11/1/2016,16.559999,16.75,16.33,16.610001,88587100,16.498314
BAC,10/31/2016,16.68,16.73,16.5,16.5,70387600,16.389053
BAC,10/28/2016,16.950001,16.98,16.5,16.68,115123600,16.567843
BAC,10/27/2016,16.950001,17.1,16.860001,16.91,97937300,16.796296
BAC,10/26/2016,16.639999,16.870001,16.620001,16.870001,58730400,16.756566
BAC,10/25/2016,16.709999,16.82,16.68,16.719999,49350300,16.607573
BAC,10/24/2016,16.75,16.799999,16.610001,16.77,68244800,16.657238
BAC,10/21/2016,16.459999,16.67,16.4,16.67,77954900,16.55791
BAC,10/20/2016,16.450001,16.629999,16.41,16.559999,88081200,16.448649
BAC,10/19/2016,16.299999,16.530001,16.280001,16.469999,97969000,16.359254
BAC,10/18/2016,16.190001,16.27,16.110001,16.26,71433100,16.150667
